学生番号【ダミー】,年度,Q01_所属学部,Q01_所属学部_ラベル,Q02_学年,Q03_履修科目数,Q04_授業時間外学習時間,Q04_授業時間外学習時間_ラベル,Q05_授業の理解度,Q05_授業の理解度_ラベル,Q06_授業の満足度,Q06_授業の満足度_ラベル,Q07_課題が多い,Q07_課題が多い_ラベル,Q08_あなたの学生生活は充実していますか,Q08_あなたの学生生活は充実していますか_ラベル,Q09_教員とのコミュニケーション,Q09_教員とのコミュニケーション_ラベル,Q10_他の学生とのコミュニケーション,Q10_他の学生とのコミュニケーション_ラベル,Q11_図書館の設備,Q11_図書館の設備_ラベル,Q12_学内のICT環境について,Q12_学内のICT環境について_ラベル,GPA,TOEIC
"19A152",2020.000,3,"保健学部","2年生",3,3,"1-2 時間",4,"よく理解できた",4,"満足",1,"まったくそう思わない",4,"充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",5,"とても満足",4,"満足",3.070,529.000
"19A153",2020.000,3,"保健学部","2年生",10,5,"6-10 時間",3,"どちらでもない",5,"とても満足",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",5,"とても満足",2.270,586.000
"19A154",2020.000,2,"商学部","2年生",4,4,"3-5 時間",2,"あまり理解できなかった",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",3.230,634.000
"19A155",2020.000,3,"保健学部","2年生",12,7,"16-20 時間",4,"よく理解できた",3,"どちらでもない",5,"とてもそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",2,"あまりうまくいかなかった",5,"とても満足",4,"満足",3.290,542.000
"19A156",2020.000,2,"商学部","2年生",12,7,"16-20 時間",4,"よく理解できた",4,"満足",4,"ややそう思う",4,"充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",2,"不満",5,"とても満足",3.010,610.000
"19A157",2020.000,2,"商学部","2年生",13,6,"11-15 時間",4,"よく理解できた",5,"とても満足",5,"とてもそう思う",3,"まあまあ充実している",4,"とてもうまくいった",2,"あまりうまくいかなかった",3,"どちらでもない",3,"どちらでもない",1.780,583.000
"19A158",2020.000,3,"保健学部","2年生",11,7,"16-20 時間",3,"どちらでもない",4,"満足",4,"ややそう思う",2,"あまり充実していない",3,"いくらかうまくいった",1,"まったくうまくいかなかった",4,"満足",4,"満足",2.240,379.000
"19A159",2020.000,1,"文学部","2年生",9,7,"16-20 時間",4,"よく理解できた",4,"満足",5,"とてもそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",4,"とてもうまくいった",4,"満足",3,"どちらでもない",2.430,386.000
"19A160",2020.000,3,"保健学部","2年生",9,5,"6-10 時間",2,"あまり理解できなかった",2,"不満",3,"どちらでもない",2,"あまり充実していない",2,"あまりうまくいかなかった",4,"とてもうまくいった",1,"とても不満",2,"不満",2.890,414.000
"19A161",2020.000,2,"商学部","2年生",10,6,"11-15 時間",1,"まったく理解できなかった",3,"どちらでもない",3,"どちらでもない",2,"あまり充実していない",4,"とてもうまくいった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",2.470,652.000
"19A162",2020.000,2,"商学部","2年生",9,7,"16-20 時間",2,"あまり理解できなかった",4,"満足",5,"とてもそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",3,"どちらでもない",1.890,750.000
"19A163",2020.000,1,"文学部","2年生",8,6,"11-15 時間",5,"大変よく理解できた",5,"とても満足",4,"ややそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",4,"満足",3.190,624.000
"19A164",2020.000,2,"商学部","2年生",5,3,"1-2 時間",5,"大変よく理解できた",5,"とても満足",1,"まったくそう思わない",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",3,"どちらでもない",3,"どちらでもない",2.650,633.000
"19A165",2020.000,1,"文学部","2年生",12,6,"11-15 時間",3,"どちらでもない",4,"満足",5,"とてもそう思う",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",4,"満足",3.400,306.000
"19A166",2020.000,3,"保健学部","2年生",11,8,"20 時間以上",3,"どちらでもない",2,"不満",4,"ややそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",5,"とても満足",3.050,714.000
"19A167",2020.000,1,"文学部","2年生",6,5,"6-10 時間",2,"あまり理解できなかった",3,"どちらでもない",4,"ややそう思う",1,"充実していない",4,"とてもうまくいった",3,"いくらかうまくいった",1,"とても不満",3,"どちらでもない",2.960,633.000
"19A168",2020.000,1,"文学部","2年生",8,4,"3-5 時間",1,"まったく理解できなかった",3,"どちらでもない",3,"どちらでもない",2,"あまり充実していない",3,"いくらかうまくいった",3,"いくらかうまくいった",3,"どちらでもない",1,"とても不満",2.310,449.000
"19A169",2020.000,2,"商学部","2年生",11,3,"1-2 時間",2,"あまり理解できなかった",4,"満足",4,"ややそう思う",3,"まあまあ充実している",4,"とてもうまくいった",4,"とてもうまくいった",3,"どちらでもない",3,"どちらでもない",2.110,517.000
"19A170",2020.000,2,"商学部","2年生",9,6,"11-15 時間",4,"よく理解できた",1,"とても不満",5,"とてもそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",2,"不満",1,"とても不満",1.700,539.000
"19A171",2020.000,1,"文学部","2年生",8,5,"6-10 時間",4,"よく理解できた",1,"とても不満",4,"ややそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",2,"不満",1.380,145.000
"19A172",2020.000,1,"文学部","2年生",11,4,"3-5 時間",3,"どちらでもない",3,"どちらでもない",4,"ややそう思う",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",5,"とても満足",3,"どちらでもない",2.540,554.000
"19A173",2020.000,2,"商学部","2年生",12,7,"16-20 時間",4,"よく理解できた",4,"満足",4,"ややそう思う",1,"充実していない",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",4,"満足",3.250,625.000
"19A174",2020.000,3,"保健学部","2年生",11,5,"6-10 時間",5,"大変よく理解できた",3,"どちらでもない",5,"とてもそう思う",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",3,"どちらでもない",1,"とても不満",3.020,545.000
"19A175",2020.000,1,"文学部","2年生",12,6,"11-15 時間",3,"どちらでもない",3,"どちらでもない",4,"ややそう思う",2,"あまり充実していない",4,"とてもうまくいった",4,"とてもうまくいった",3,"どちらでもない",2,"不満",1.720,667.000
"19A176",2020.000,1,"文学部","2年生",7,5,"6-10 時間",4,"よく理解できた",3,"どちらでもない",3,"どちらでもない",2,"あまり充実していない",3,"いくらかうまくいった",1,"まったくうまくいかなかった",2,"不満",3,"どちらでもない",2.730,687.000
"19A177",2020.000,2,"商学部","2年生",9,7,"16-20 時間",3,"どちらでもない",3,"どちらでもない",3,"どちらでもない",4,"充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",3,"どちらでもない",4,"満足",3.760,453.000
"19A178",2020.000,3,"保健学部","2年生",8,4,"3-5 時間",2,"あまり理解できなかった",4,"満足",5,"とてもそう思う",2,"あまり充実していない",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",5,"とても満足",1.760,246.000
"19A179",2020.000,2,"商学部","2年生",10,6,"11-15 時間",3,"どちらでもない",3,"どちらでもない",3,"どちらでもない",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",2,"不満",1.180,326.000
"19A180",2020.000,1,"文学部","2年生",11,5,"6-10 時間",4,"よく理解できた",4,"満足",5,"とてもそう思う",4,"充実している",4,"とてもうまくいった",4,"とてもうまくいった",3,"どちらでもない",3,"どちらでもない",2.940,725.000
"19A181",2020.000,2,"商学部","2年生",13,6,"11-15 時間",5,"大変よく理解できた",5,"とても満足",5,"とてもそう思う",2,"あまり充実していない",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",4,"満足",3.940,720.000
"19A182",2020.000,3,"保健学部","2年生",9,4,"3-5 時間",1,"まったく理解できなかった",4,"満足",4,"ややそう思う",1,"充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",1,"とても不満",2,"不満",2.640,843.000
"19A183",2020.000,3,"保健学部","2年生",10,7,"16-20 時間",2,"あまり理解できなかった",3,"どちらでもない",5,"とてもそう思う",2,"あまり充実していない",3,"いくらかうまくいった",2,"あまりうまくいかなかった",2,"不満",3,"どちらでもない",2.750,751.000
"19A184",2020.000,1,"文学部","2年生",11,6,"11-15 時間",1,"まったく理解できなかった",2,"不満",2,"あまりそう思わない",4,"充実している",4,"とてもうまくいった",3,"いくらかうまくいった",3,"どちらでもない",2,"不満",2.960,338.000
"19A185",2020.000,2,"商学部","2年生",12,5,"6-10 時間",2,"あまり理解できなかった",3,"どちらでもない",5,"とてもそう思う",4,"充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",4,"満足",3,"どちらでもない",2.920,611.000
"19A186",2020.000,1,"文学部","2年生",6,4,"3-5 時間",3,"どちらでもない",4,"満足",1,"まったくそう思わない",3,"まあまあ充実している",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",5,"とても満足",4,"満足",3.370,916.000
"19A187",2020.000,1,"文学部","2年生",11,5,"6-10 時間",3,"どちらでもない",4,"満足",5,"とてもそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",5,"とても満足",2.840,560.000
"19A188",2020.000,2,"商学部","2年生",5,6,"11-15 時間",4,"よく理解できた",5,"とても満足",3,"どちらでもない",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",1.980,315.000
"19A189",2020.000,2,"商学部","2年生",13,8,"20 時間以上",3,"どちらでもない",2,"不満",5,"とてもそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",4,"とてもうまくいった",3,"どちらでもない",4,"満足",2.830,363.000
"19A190",2020.000,3,"保健学部","2年生",13,7,"16-20 時間",4,"よく理解できた",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",2,"不満",5,"とても満足",2.750,455.000
"19A191",2020.000,3,"保健学部","2年生",2,3,"1-2 時間",5,"大変よく理解できた",4,"満足",1,"まったくそう思わない",3,"まあまあ充実している",1,"まったくうまくいかなかった",2,"あまりうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.988,612.000
"19A192",2020.000,3,"保健学部","2年生",14,8,"20 時間以上",4,"よく理解できた",5,"とても満足",4,"ややそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",4,"満足",4,"満足",2.050,379.000
"19A193",2020.000,1,"文学部","2年生",10,6,"11-15 時間",1,"まったく理解できなかった",1,"とても不満",5,"とてもそう思う",2,"あまり充実していない",3,"いくらかうまくいった",3,"いくらかうまくいった",1,"とても不満",3,"どちらでもない",2.980,515.000
"19A194",2020.000,1,"文学部","2年生",8,6,"11-15 時間",2,"あまり理解できなかった",2,"不満",5,"とてもそう思う",2,"あまり充実していない",4,"とてもうまくいった",4,"とてもうまくいった",1,"とても不満",3,"どちらでもない",3.610,328.000
"19A195",2020.000,2,"商学部","2年生",6,5,"6-10 時間",5,"大変よく理解できた",4,"満足",4,"ややそう思う",1,"充実していない",1,"まったくうまくいかなかった",3,"いくらかうまくいった",2,"不満",1,"とても不満",2.100,279.000
"19A196",2020.000,3,"保健学部","2年生",10,5,"6-10 時間",2,"あまり理解できなかった",2,"不満",5,"とてもそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",4,"とてもうまくいった",2,"不満",1,"とても不満",2.570,478.000
"19A197",2020.000,3,"保健学部","2年生",5,5,"6-10 時間",1,"まったく理解できなかった",1,"とても不満",4,"ややそう思う",3,"まあまあ充実している",4,"とてもうまくいった",3,"いくらかうまくいった",3,"どちらでもない",2,"不満",2.910,578.000
"19A198",2020.000,2,"商学部","2年生",12,7,"16-20 時間",2,"あまり理解できなかった",3,"どちらでもない",5,"とてもそう思う",4,"充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",4,"満足",3,"どちらでもない",2.200,574.000
"19A199",2020.000,3,"保健学部","2年生",5,4,"3-5 時間",4,"よく理解できた",4,"満足",4,"ややそう思う",4,"充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",5,"とても満足",4,"満足",2.410,452.000
"19A200",2020.000,3,"保健学部","2年生",13,5,"6-10 時間",3,"どちらでもない",5,"とても満足",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",5,"とても満足",2.560,638.000
"19A201",2020.000,2,"商学部","2年生",4,4,"3-5 時間",1,"まったく理解できなかった",1,"とても不満",5,"とてもそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",3.350,596.000
"19A202",2020.000,3,"保健学部","2年生",13,7,"16-20 時間",4,"よく理解できた",3,"どちらでもない",4,"ややそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",4,"満足",2.780,749.000
"19A203",2020.000,2,"商学部","2年生",12,8,"20 時間以上",4,"よく理解できた",2,"不満",4,"ややそう思う",2,"あまり充実していない",3,"いくらかうまくいった",2,"あまりうまくいかなかった",2,"不満",5,"とても満足",3.860,769.000
"19A204",2020.000,2,"商学部","2年生",9,6,"11-15 時間",4,"よく理解できた",5,"とても満足",4,"ややそう思う",4,"充実している",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.810,532.000
"19A205",2020.000,3,"保健学部","2年生",8,7,"16-20 時間",3,"どちらでもない",4,"満足",5,"とてもそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",4,"満足",4,"満足",3.830,767.000
"19A206",2020.000,1,"文学部","2年生",7,7,"16-20 時間",4,"よく理解できた",4,"満足",5,"とてもそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",3,"どちらでもない",3.040,494.000
"19A207",2020.000,3,"保健学部","2年生",9,5,"6-10 時間",2,"あまり理解できなかった",2,"不満",4,"ややそう思う",4,"充実している",4,"とてもうまくいった",4,"とてもうまくいった",1,"とても不満",2,"不満",2.860,413.000
"19A208",2020.000,2,"商学部","2年生",10,6,"11-15 時間",1,"まったく理解できなかった",3,"どちらでもない",4,"ややそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",2.060,729.000
"19A209",2020.000,2,"商学部","2年生",11,7,"16-20 時間",2,"あまり理解できなかった",4,"満足",5,"とてもそう思う",4,"充実している",4,"とてもうまくいった",4,"とてもうまくいった",3,"どちらでもない",3,"どちらでもない",3.510,631.000
"19A210",2020.000,1,"文学部","2年生",6,6,"11-15 時間",5,"大変よく理解できた",5,"とても満足",5,"とてもそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",2,"不満",4,"満足",3.100,459.000
"19A211",2020.000,2,"商学部","2年生",4,2,"1 時間未満",4,"よく理解できた",5,"とても満足",2,"あまりそう思わない",3,"まあまあ充実している",4,"とてもうまくいった",1,"まったくうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.390,682.000
"19A212",2020.000,1,"文学部","2年生",8,6,"11-15 時間",3,"どちらでもない",4,"満足",3,"どちらでもない",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",4,"満足",1.480,343.000
"19A213",2020.000,3,"保健学部","2年生",14,8,"20 時間以上",3,"どちらでもない",2,"不満",5,"とてもそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",3,"どちらでもない",3,"どちらでもない",3.360,477.000
"19A214",2020.000,1,"文学部","2年生",9,5,"6-10 時間",4,"よく理解できた",3,"どちらでもない",4,"ややそう思う",4,"充実している",4,"とてもうまくいった",3,"いくらかうまくいった",4,"満足",1,"とても不満",1.550,354.000
"19A215",2020.000,2,"商学部","2年生",7,4,"3-5 時間",3,"どちらでもない",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",2,"不満",3.830,577.000
"19A216",2020.000,2,"商学部","2年生",11,4,"3-5 時間",3,"どちらでもない",4,"満足",4,"ややそう思う",3,"まあまあ充実している",4,"とてもうまくいった",4,"とてもうまくいった",3,"どちらでもない",3,"どちらでもない",2.380,818.000
"19A217",2020.000,2,"商学部","2年生",9,6,"11-15 時間",4,"よく理解できた",5,"とても満足",5,"とてもそう思う",1,"充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",1,"とても不満",1,"とても不満",3.970,741.000
"19A218",2020.000,1,"文学部","2年生",7,2,"1 時間未満",2,"あまり理解できなかった",1,"とても不満",4,"ややそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",2,"不満",2.420,586.000
"19A219",2020.000,1,"文学部","2年生",11,3,"1-2 時間",3,"どちらでもない",3,"どちらでもない",3,"どちらでもない",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",3,"どちらでもない",3,"どちらでもない",1.270,234.000
"19A220",2020.000,2,"商学部","2年生",11,7,"16-20 時間",4,"よく理解できた",4,"満足",5,"とてもそう思う",2,"あまり充実していない",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",4,"満足",2.950,882.000
"19A221",2020.000,3,"保健学部","2年生",13,5,"6-10 時間",5,"大変よく理解できた",3,"どちらでもない",5,"とてもそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",4,"とてもうまくいった",3,"どちらでもない",1,"とても不満",2.910,675.000
"19A222",2020.000,1,"文学部","2年生",12,6,"11-15 時間",2,"あまり理解できなかった",3,"どちらでもない",5,"とてもそう思う",2,"あまり充実していない",4,"とてもうまくいった",2,"あまりうまくいかなかった",3,"どちらでもない",2,"不満",2.630,542.000
"19A223",2020.000,1,"文学部","2年生",7,5,"6-10 時間",4,"よく理解できた",3,"どちらでもない",2,"あまりそう思わない",3,"まあまあ充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",2,"不満",3,"どちらでもない",2.860,598.000
"19A224",2020.000,2,"商学部","2年生",13,7,"16-20 時間",3,"どちらでもない",3,"どちらでもない",5,"とてもそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",3,"どちらでもない",4,"満足",2.980,468.000
"19A225",2020.000,3,"保健学部","2年生",4,5,"6-10 時間",2,"あまり理解できなかった",4,"満足",1,"まったくそう思わない",2,"あまり充実していない",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",5,"とても満足",1.720,807.000
"19A226",2020.000,2,"商学部","2年生",11,5,"6-10 時間",4,"よく理解できた",5,"とても満足",5,"とてもそう思う",3,"まあまあ充実している",4,"とてもうまくいった",3,"いくらかうまくいった",5,"とても満足",5,"とても満足",1.610,478.000
"19A227",2020.000,3,"保健学部","2年生",9,6,"11-15 時間",4,"よく理解できた",3,"どちらでもない",4,"ややそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",3,"いくらかうまくいった",3,"どちらでもない",4,"満足",2.840,535.000
"19A228",2020.000,1,"文学部","2年生",8,7,"16-20 時間",1,"まったく理解できなかった",1,"とても不満",5,"とてもそう思う",4,"充実している",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",4,"満足",3,"どちらでもない",0.560,698.000
"19A229",2020.000,2,"商学部","2年生",7,5,"6-10 時間",4,"よく理解できた",5,"とても満足",2,"あまりそう思わない",3,"まあまあ充実している",4,"とてもうまくいった",4,"とてもうまくいった",1,"とても不満",3,"どちらでもない",0.960,130.000
"19A230",2020.000,2,"商学部","2年生",10,6,"11-15 時間",3,"どちらでもない",3,"どちらでもない",3,"どちらでもない",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",2,"不満",0.860,160.000
"19A231",2020.000,3,"保健学部","2年生",11,5,"6-10 時間",4,"よく理解できた",4,"満足",5,"とてもそう思う",3,"まあまあ充実している",4,"とてもうまくいった",4,"とてもうまくいった",5,"とても満足",3,"どちらでもない",2.890,700.000
"19A232",2020.000,2,"商学部","2年生",11,6,"11-15 時間",5,"大変よく理解できた",5,"とても満足",5,"とてもそう思う",2,"あまり充実していない",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",4,"満足",3.090,528.000
"19A233",2020.000,3,"保健学部","2年生",9,4,"3-5 時間",2,"あまり理解できなかった",4,"満足",5,"とてもそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",2,"あまりうまくいかなかった",5,"とても満足",1,"とても不満",0.020,93.000
"19A234",2020.000,3,"保健学部","2年生",10,7,"16-20 時間",1,"まったく理解できなかった",2,"不満",2,"あまりそう思わない",2,"あまり充実していない",3,"いくらかうまくいった",2,"あまりうまくいかなかった",3,"どちらでもない",1,"とても不満",2.370,770.000
"19A235",2020.000,1,"文学部","2年生",11,7,"16-20 時間",1,"まったく理解できなかった",2,"不満",5,"とてもそう思う",4,"充実している",4,"とてもうまくいった",3,"いくらかうまくいった",2,"不満",2,"不満",2.970,786.000
"19A236",2020.000,2,"商学部","2年生",11,8,"20 時間以上",2,"あまり理解できなかった",3,"どちらでもない",3,"どちらでもない",4,"充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",3,"どちらでもない",5,"とても満足",3.410,369.000
"19A237",2020.000,3,"保健学部","2年生",7,4,"3-5 時間",3,"どちらでもない",4,"満足",3,"どちらでもない",4,"充実している",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",3,"どちらでもない",3,"どちらでもない",3.290,622.000
"19A238",2020.000,1,"文学部","2年生",10,5,"6-10 時間",3,"どちらでもない",5,"とても満足",4,"ややそう思う",2,"あまり充実していない",3,"いくらかうまくいった",1,"まったくうまくいかなかった",3,"どちらでもない",4,"満足",2.690,563.000
"19A239",2020.000,2,"商学部","2年生",5,6,"11-15 時間",4,"よく理解できた",5,"とても満足",5,"とてもそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",3,"いくらかうまくいった",4,"満足",4,"満足",2.740,456.000
"19A240",2020.000,3,"保健学部","2年生",12,7,"16-20 時間",3,"どちらでもない",1,"とても不満",4,"ややそう思う",2,"あまり充実していない",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",1,"とても不満",3.170,504.000
"19A241",2020.000,3,"保健学部","2年生",13,7,"16-20 時間",4,"よく理解できた",2,"不満",5,"とてもそう思う",3,"まあまあ充実している",4,"とてもうまくいった",2,"あまりうまくいかなかった",3,"どちらでもない",1,"とても不満",3.130,654.000
"19A242",2020.000,3,"保健学部","2年生",3,3,"1-2 時間",5,"大変よく理解できた",5,"とても満足",1,"まったくそう思わない",3,"まあまあ充実している",3,"いくらかうまくいった",1,"まったくうまくいかなかった",4,"満足",2,"不満",1.110,398.000
"19A243",2020.000,3,"保健学部","2年生",12,8,"20 時間以上",4,"よく理解できた",4,"満足",5,"とてもそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",2,"あまりうまくいかなかった",1,"とても不満",3,"どちらでもない",2.490,644.000
"19A244",2020.000,1,"文学部","2年生",12,6,"11-15 時間",1,"まったく理解できなかった",1,"とても不満",5,"とてもそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",2,"不満",4,"満足",1.950,619.000
"19A245",2020.000,1,"文学部","2年生",7,6,"11-15 時間",2,"あまり理解できなかった",2,"不満",4,"ややそう思う",2,"あまり充実していない",3,"いくらかうまくいった",4,"とてもうまくいった",3,"どちらでもない",5,"とても満足",2.900,509.000
"19A246",2020.000,2,"商学部","2年生",9,6,"11-15 時間",2,"あまり理解できなかった",1,"とても不満",3,"どちらでもない",2,"あまり充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",4,"満足",3,"どちらでもない",2.480,421.000
"19A247",2020.000,3,"保健学部","2年生",6,4,"3-5 時間",2,"あまり理解できなかった",2,"不満",3,"どちらでもない",2,"あまり充実していない",3,"いくらかうまくいった",2,"あまりうまくいかなかった",3,"どちらでもない",4,"満足",3.940,693.000
"19A248",2020.000,1,"文学部","2年生",11,8,"20 時間以上",3,"どちらでもない",3,"どちらでもない",3,"どちらでもない",3,"まあまあ充実している",4,"とてもうまくいった",3,"いくらかうまくいった",4,"満足",5,"とても満足",0.290,176.000
"19A249",2020.000,2,"商学部","2年生",11,7,"16-20 時間",4,"よく理解できた",4,"満足",5,"とてもそう思う",2,"あまり充実していない",3,"いくらかうまくいった",2,"あまりうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.730,565.000
"19A250",2020.000,3,"保健学部","2年生",13,5,"6-10 時間",5,"大変よく理解できた",5,"とても満足",5,"とてもそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",5,"とても満足",4,"満足",3.590,553.000
"19A251",2020.000,1,"文学部","2年生",12,6,"11-15 時間",2,"あまり理解できなかった",3,"どちらでもない",4,"ややそう思う",2,"あまり充実していない",3,"いくらかうまくいった",3,"いくらかうまくいった",3,"どちらでもない",2,"不満",3.550,506.000
"19A252",2020.000,3,"保健学部","2年生",4,2,"1 時間未満",4,"よく理解できた",4,"満足",2,"あまりそう思わない",3,"まあまあ充実している",4,"とてもうまくいった",4,"とてもうまくいった",2,"不満",3,"どちらでもない",2.400,412.000
"19A253",2020.000,1,"文学部","2年生",13,8,"20 時間以上",4,"よく理解できた",5,"とても満足",5,"とてもそう思う",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",2,"不満",4,"満足",2.220,748.000
"19A254",2020.000,2,"商学部","2年生",11,5,"6-10 時間",5,"大変よく理解できた",5,"とても満足",5,"とてもそう思う",4,"充実している",4,"とてもうまくいった",3,"いくらかうまくいった",5,"とても満足",5,"とても満足",2.950,714.000
"19A255",2020.000,3,"保健学部","2年生",7,6,"11-15 時間",3,"どちらでもない",3,"どちらでもない",4,"ややそう思う",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",3,"どちらでもない",4,"満足",2.720,662.000
"19A256",2020.000,1,"文学部","2年生",11,6,"11-15 時間",2,"あまり理解できなかった",2,"不満",5,"とてもそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",4,"満足",3,"どちらでもない",1.390,664.000
"19A257",2020.000,1,"文学部","2年生",7,5,"6-10 時間",3,"どちらでもない",2,"不満",5,"とてもそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",1,"まったくうまくいかなかった",5,"とても満足",5,"とても満足",3.090,474.000
"19A258",2020.000,1,"文学部","2年生",10,6,"11-15 時間",3,"どちらでもない",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",2,"不満",3.360,490.000
"19A259",2020.000,3,"保健学部","2年生",11,5,"6-10 時間",4,"よく理解できた",4,"満足",4,"ややそう思う",4,"充実している",4,"とてもうまくいった",4,"とてもうまくいった",3,"どちらでもない",3,"どちらでもない",3.540,646.000
"19A260",2020.000,1,"文学部","2年生",12,7,"16-20 時間",3,"どちらでもない",5,"とても満足",5,"とてもそう思う",2,"あまり充実していない",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",4,"満足",3.370,736.000
"19A261",2020.000,3,"保健学部","2年生",8,6,"11-15 時間",3,"どちらでもない",3,"どちらでもない",4,"ややそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",1,"とても不満",2,"不満",0.770,280.000
